GEOID20,district
12077000006,5
12077000007,5
12077000004,5
12077000005,5
12077000002,5
12077000008,5
12077000003,5
12077000001,5
12041000005,22
12041000008,22
12041000009,22
12041000004,22
12041000010,22
12041000003,22
12041000001,22
12041000002,22
12113000013,4
12113000019,4
12113000004,4
12113000012,4
12113000039,4
12113000021,4
12113000024,4
12113000016,4
12113000011,4
12113000009,4
12113000033,4
12113000017,4
12113000005,4
12113000010,4
12113000022,4
12113000014,4
12113000028,4
12113000015,4
12121000016,22
12121000011,22
12121000013,22
12121000006,22
12121000014,22
12121000007,22
12121000008,22
12121000009,22
12121000005,22
12121000004,22
12121000001,22
12121000003,22
12121000015,22
12121000002,22
12121000012,22
12121000010,22
12059000005,5
12059000004,5
12059000007,5
12059000006,5
12041000007,22
12041000006,22
12113000001,4
12113000006,4
12113000007,4
12113000023,4
12113000026,4
12113000040,4
12113000025,4
12113000030,4
12113000038,4
12113000031,4
12113000002,4
12113000003,4
12113000034,4
12113000035,4
12113000029,4
12113000041,4
12113000037,4
12113000032,4
12113000018,4
12113000008,4
12113000036,4
12113000042,4
12113000027,4
12113000020,4
12059000008,5
12059000002,5
12059000003,5
12059000001,5
12125000002,22
12125000010,22
12125000008,22
12125000001,22
12123000007,5
12123000001,22
12123000012,22
12123000013,22
12123000008,22
12123000010,22
12123000002,22
12123000009,22
12123000006,5
12123000014,5
12123000003,22
12123000004,22
12123000005,22
12123000011,22
12029000001,22
12029000008,22
12029000010,1
12029000009,1
12029000004,22
12029000006,22
12029000003,22
12029000007,1
12029000002,22
12029000005,1
12029000011,1
1200300005A,22
1200300004C,22
1200300003A,22
1200300002A,22
1200300004B,22
1200300006A,22
1200300001A,22
1200300004D,22
1200300004A,22
12019061000,6
1201960600a,6
12019060601,6
12019031000,22
12019060401,6
12007000005,6
12007000006,6
12007000004,6
12007000007,6
12049000003,3
12049000001,3
12049000002,3
12049000011,25
12049000005,25
12049000004,25
12049000010,25
12049000012,25
12049000006,25
12049000008,25
12049000007,25
12049000009,25
12027000016,25
12027000010,25
12027000007,25
12027000005,25
12027000006,25
12027000015,25
12027000009,25
12027000014,25
12027000011,25
12027000013,25
12027000012,15
12027000001,15
12027000008,15
12027000004,15
12027000003,15
12027000002,15
12007000020,22
12007000019,6
12007000015,6
12007000018,6
12007000013,6
12007000014,6
12007000001,22
12007000016,6
12007000002,6
12007000012,6
12007000011,6
12007000017,6
12007000003,6
12007000009,6
12007000008,6
12007000010,6
12067000005,22
12067000003,22
12067000004,22
12043000007,25
12043000008,25
12043000010,25
12043000009,25
12043000011,25
12043000005,24
12043000004,25
12043000002,24
12043000013,24
12043000001,25
12043000006,25
12043000003,25
12043000012,25
12067000001,22
12067000002,22
12125000009,22
12125000005,22
12125000007,22
12125000003,22
12125000004,22
12125000006,22
12013000202,5
12013000201,5
12013000101,5
12013000102,5
12013000501,5
12013000401,5
12013000402,5
12013000503,5
12013000502,5
12013000301,5
12013000302,5
12051000018,10
12051000001,24
12051000025,10
12051000007,24
12051000005,24
12051000029,24
12051000008,10
12051000024,24
12051000011,24
12051000022,24
12051000010,24
12051000012,24
12051000014,24
12051000013,24
12051000017,24
12051000016,24
12101100111,19
12101103006,3
