GEOID20,district
12131000510,0
12113000034,1
12109000090,2
12053000025,3
12113000024,4
12131000520,5
12131000430,6
12119000117,7
12089050400,8
120170307.1,9
1200300005A,10
12089050300,11
12081000019,12
12101000048,13
12089040100,14
12113000026,15
12113000027,16
12033000263,17
12083000055,18
12109000019,19
12055000017,20
12119000129,21
12083000099,22
12113000002,23
12005000006,24
12011000011,25
1201100L004,26
12091000080,0
12113000023,1
12109000007,2
12053000031,3
12113000018,4
12131000530,5
12131000540,6
12119000130,7
12089040300,8
12053000017,9
1200300003A,10
12089040200,11
12081000191,12
12053000014,13
12089040101,14
12113000035,15
12113000021,16
12033000262,17
12119000103,18
12109000017,19
12055000021,20
12119000111,21
12083000087,22
12113000030,23
12005000005,24
1201100Q043,25
1201100L019,26
12091000078,0
12113000029,1
12109000009,2
12053000010,3
12113000020,4
12131000420,5
12005000008,6
12119000114,7
1200300002A,8
120170305.1,9
1200300004C,10
12089050302,11
12081000075,12
12053000019,13
12089050100,14
12113000010,15
12113000016,16
12113000019,17
12119000112,18
12109000011,19
12055000015,20
12119000128,21
120170200.1,22
12113000012,23
12005000004,24
1201100E034,25
1201100N019,26
12091000056,0
12113000039,1
12019041200,2
12053000006,3
12113000036,4
12131000130,5
12005000009,6
120170405.1,7
12019010000,8
120170302.1,9
1200300004D,10
12089050102,11
12081000190,12
12101000169,13
12089030200,14
12113000009,15
12033000254,16
12113000004,17
12119000102,18
12109000014,19
12055000013,20
12119000110,21
120170110.1,22
12113000013,23
12005000017,24
1201100Q044,25
1201100N008,26
12091000043,0
12113000022,1
12109000006,2
12053000036,3
12113000042,4
12131000310,5
12005000010,6
120170402.1,7
12019010600,8
120170301.1,9
1200300001A,10
12089050101,11
12081000069,12
12101000128,13
12089030300,14
12113000033,15
12033000251,16
12113000017,17
12083000058,18
12109000073,19
1205500015S,20
12119000104,21
120170108.1,22
12113000015,23
12005000021,24
1209900NP30,25
1201100N027,26
12091000052,0
12113000025,1
12019041001,2
12119000120,3
12113000031,4
12091000023,5
12005000011,6
120170202.1,7
12019050800,8
120170100.1,9
12125000003,10
12089050301,11
12081000185,12
12053000009,13
12089020400,14
12091000014,15
12033000248,16
12113000003,17
12119000105,18
12109000018,19
12055000019,20
12119000106,21
120170109.1,22
12113000011,23
12005000023,24
12099000353,25
1201100N011,26
12091000073,0
12113000032,1
12109000010,2
12053000037,3
12113000001,4
12091000009,5
12005000012,6
120170403.1,7
12019010200,8
120170101.1,9
12007000001,10
12031000211,11
12081000167,12
12053000028,13
12089020300,14
12091000004,15
12033000245,16
12033000266,17
12083000053,18
12109000012,19
12049000007,20
12119000127,21
120170201.1,22
12113000008,23
12005000022,24
12099000752,25
1201100N005,26
12091000065,0
12113000028,1
12109000003,2
12119000118,3
12091000019,5
12005000014,6
120170404.1,7
12019011001,8
12075000009,9
12125000001,10
12031000221,11
12081000168,12
12101000194,13
12089030100,14
12091000001,15
12033000247,16
12033000265,17
12083000057,18
12109000035,19
12049000009,20
12119000108,21
120170204.1,22
12113000014,23
12005000039,24
12099000754,25
1201100N006,26
12091000025,0
12113000041,1
12031000103,2
12053000002,3
12105000111,4
12105000107,4
12091000021,5
12005000015,6
120170406.1,7
12019050400,8
12075000008,9
1200300004B,10
12031000209,11
12081000018,12
12053000047,13
12089020200,14
12091000006,15
12033000253,16
12033000264,17
12119000125,18
12109000036,19
12055000005,20
12069000220,21
120170107.1,22
12113000007,23
12005000013,24
12099000300,25
1201100T016,26
12091000058,0
12113000037,1
12031000102,2
120170408.1,3
12105000303,4
12091000012,5
12131000320,6
120170400.1,7
12019060000,8
12083000105,9
12007000005,10
12031000208,11
12081000035,12
12053000030,13
12089010201,14
12091000082,15
12033000239,16
12033000267,17
12083000052,18
12109000039,19
12105000518,20
12119000109,21
120170103.1,22
12091000002,23
12005000018,24
12099000352,25
1201100R068,26
12091000060,0
12113000038,1
12019040000,2
12053000044,3
12105000304,4
12091000083,5
12005000031,6
12069000023,7
12031000220,8
12075000002,9
12007000011,10
12031000018,11
12081000206,12
12101000157,13
12031000218,14
12091000008,15
12033000242,16
12033000261,17
12069002000,18
12109000038,19
12055000016,20
12119000107,21
12083000086,22
12091000005,23
12005000027,24
12099000723,25
1201100T013,26
12091000035,0
12033000202,1
12019040800,2
12053000018,3
12105000101,4
12091000071,5
12131000330,6
120170407.1,7
12019011201,8
12075000003,9
12007000012,10
12031000019,11
12081000202,12
12101000077,13
12089020401,14
12091000003,15
12033000246,16
12033000260,17
12069000017,18
12109000013,19
12055000003,20
12069000042,21
120170104.1,22
12131000110,23
12005000026,24
12099000751,25
1201100V055,26
12091000051,0
12091000049,1
12019021600,2
12053000023,3
12105000109,4
12091000069,5
12131000440,6
120170203.1,7
12019011800,8
12083000047,9
12007000019,10
12031000210,11
12081000136,12
12101000081,13
12089020102,14
12091000047,15
12033000244,16
12033000259,17
12069000012,18
12109000041,19
12105000537,20
12069000250,21
120170105.1,22
12131000120,23
12005000016,24
12099000750,25
1201100V025,26
12091000027,0
12091000036,1
12019021800,2
12119000123,3
12101000023,4
12091000042,5
12005000042,6
12069000065,7
12019030200,8
12083000103,9
12007000020,10
12031000001,11
12115000067,12
12101000213,13
12089020103,14
12091000050,15
12033000052,16
12033000249,17
12069000013,18
12109000065,19
12049000012,20
12069000085,21
12083000085,22
12131000220,23
12005000025,24
12099000518,25
12011000010,26
12091000032,0
12091000054,1
12019030400,2
12053000033,3
12101000007,4
12131000230,5
12005000035,6
12069000036,7
12019050000,8
12083000042,9
12125000004,10
12031000039,11
12115000088,12
12101000195,13
12031000219,14
12091000063,15
12033000053,16
12033000250,17
12083000059,18
12019061000,19
12055000024,20
12069000073,21
120170205.1,22
12131000210,23
12005000002,24
12099000301,25
12011000013,26
12091000070,0
12091000076,1
12019031000,2
12101000004,3
12057000769,4
12059000002,5
12131000350,6
12069000081,7
12019012200,8
120170302.2,9
12125000006,10
12031000057,11
12115000070,12
12101000015,13
12089030201,14
12091000061,15
12033000051,16
12033000252,17
12083000075,18
12107000012,19
12105000514,20
12069000091,21
12083000100,22
12131000240,23
12005000001,24
1209900NP26,25
1201100S009,26
12131000410,0
12091000038,1
12109000050,2
12101000025,3
12105000118,4
12059000001,5
12005000028,6
12069000107,7
12019050300,8
12075000001,9
12023000008,10
12031000051,11
12115000041,12
12103000364,13
12089020101,14
12091000030,15
12033000054,16
12113000005,17
12069000116,18
12107000011,19
12105000511,20
12119000101,21
12083000096,22
12059000003,23
12063000005,24
12099000746,25
1201100V059,26
12091000034,0
12091000040,1
12031000104,2
12053000040,3
12105000110,4
12059000005,5
12005000043,6
12119000119,7
12019012400,8
12001000070,9
12023000007,10
12031000056,11
12115000033,12
12101000199,13
12031000207,14
12091000066,15
12033000243,16
12033000255,17
12069000004,18
12107000010,19
12055000011,20
12083000054,21
120170300.3,22
12059000004,23
12063000006,24
12099000715,25
12011000005,26
12091000046,0
12113000040,1
12031000109,2
12053000042,3
12057000765,4
12059000007,5
12005000041,6
12069000031,7
12031000222,8
12075000013,9
12023000006,10
12031000058,11
12115000049,12
12101000019,13
12089020301,14
12091000067,15
12033000241,16
12033000256,17
12127000009,18
12035300000,19
12105000536,20
12069000086,21
120170208.1,22
12059000006,23
12063000027,24
12099000709,25
1201100S005,26
12091000039,0
12091000045,1
12019041400,2
12119000121,3
12057000761,4
12059000008,5
12131000360,6
12069000033,7
12031000236,8
12075000005,9
12001000066,10
12031000248,11
12115000062,12
12101100111,13
12089030102,14
12113000006,15
12033000240,16
12033000258,17
12083000065,18
12107000007,19
12105000542,20
12069000052,21
120170206.1,22
12063000030,23
12013000301,24
12099000712,25
1201100R065,26
12033000203,1
12109000008,2
12101000130,3
12057000721,4
12133000002,5
12005000040,6
12069000059,7
12031000158,8
