GEOID20,district
12131000510,0
12113000034,0
12109000090,0
12053000025,0
12113000024,0
12131000520,0
12131000430,0
12119000117,0
12089050400,0
120170307.1,0
1200300005A,0
12089050300,0
12081000019,0
12101000048,0
12089040100,0
12113000026,0
12113000027,0
12033000263,0
12083000055,0
12109000019,0
12055000017,0
12119000129,0
12083000099,0
12113000002,0
12005000006,0
12019010600,0
12119000130,0
12109000007,0
12089030200,0
12105000111,0
12053000031,0
12131000310,0
12019050800,0
1200300003A,0
12109000009,0
12105000118,0
120170301.1,0
12119000111,0
12113000018,0
12009000205,0
12089040300,0
12117000070,0
12071000067,0
12023000006,0
12021000118,0
12061000028,0
12091000052,0
12091000006,0
12005000012,0
12023000022,0
12009000118,0
120170405.1,0
12005000005,0
12105000237,0
12005000021,0
12053000014,0
12119000120,0
12129000002,0
12005000011,0
12005000010,0
12019010000,0
12119000112,0
12115000079,0
12113000020,0
12021000117,0
12109000028,0
12097000506,0
12097000502,0
12109000011,0
12019010200,0
12005000004,0
12009000104,0
12053000019,0
12109000017,0
12015000127,0
12119000103,0
12019070600,0
12113000021,0
12085000043,0
12101000007,0
12101000077,0
12085000061,0
12091000009,0
12105000303,0
12127000182,0
12061000032,0
12105000304,0
12075000005,0
12019060000,0
12101000205,0
120170110.1,0
12059000006,0
12081000191,0
12005000014,0
12091000001,0
12113000030,0
12105000107,0
12109000036,0
12005000017,0
12091000073,0
12071000107,0
12091000012,0
12083000062,0
12105000248,0
12019041200,0
12115000088,0
12009000302,0
12091000019,1
12085000049,1
12015000072,1
12005000015,1
12089030300,1
12115000108,1
120170202.1,1
12001000066,1
12053000017,1
12055000015,1
12057000761,1
12091000021,1
12091000080,1
120170402.1,1
12086000368,1
12053000006,1
1200300002A,1
12081000075,1
12005000023,1
12071000005,1
12085000100,1
12005000008,1
12111000012,1
12101000213,1
12029000004,1
12089020400,1
12119000102,1
12101000195,1
12085000101,1
12075000008,1
12071000112,1
12019021600,1
12085000014,1
12085000030,1
12115000064,1
12061000009,1
12091000078,1
12115000037,1
12021000120,1
12071000055,1
120170302.1,1
12019031000,1
12109000014,1
12019011800,1
12033000062,1
120170101.1,1
12113000022,1
12019011001,1
12005000022,1
12031000109,1
12089020300,1
12019050400,1
12083000058,1
12105000243,1
12109000032,1
12086000390,1
12071000115,1
12113000009,1
12089030100,1
12071000304,1
12083000078,1
12061000013,1
12119000128,1
1200300004C,1
12107000010,1
12109000073,1
120170305.1,1
12107000012,1
12063000005,1
12101000081,1
12091000056,1
12055000021,1
12071000101,1
12119000105,1
12119000114,1
12086000451,1
12061000005,1
12071000002,1
12115000067,1
12129000007,1
120170100.1,1
12031000158,1
12081000202,1
12033000251,1
12069000118,1
12071000025,1
12071000102,1
12005000009,1
12009000106,1
12109000035,1
12109000039,1
12031000103,1
12113000025,1
12009000116,1
12105000339,1
12109000006,1
12127000203,1
12109000018,1
12083000030,1
12107000026,1
12086004130,1
12113000012,1
12115000078,1
12071000057,1
12091000083,1
12091000043,1
12117000073,1
12115000095,1
12069000013,1
12055000005,1
1209300P-08,1
12121000013,1
12009000103,1
12019041001,1
12105000101,1
12033000262,1
12101000016,1
12031000102,1
12029000001,1
12101000106,1
12009000422,1
12101000169,1
12061000010,1
12113000004,1
12045000002,1
12053000037,1
12131000530,1
12031000236,1
12083000087,1
12113000033,1
12083000014,1
12053000036,1
12089040200,1
12005000039,1
12086000798,1
12019040800,1
12109000031,1
12055000013,1
120170403.1,1
12119000118,1
12083000105,1
12015000041,1
12059000007,1
12083000053,1
12085000025,1
12071000125,1
12075000003,1
12053000010,2
12115000062,3
12033000052,4
12085000013,5
12005000013,6
12071000001,7
12021000123,8
12071000064,9
12031000051,10
12113000032,11
1209300P-03,12
12101000128,13
12127000176,14
120170408.1,15
12109000010,16
12091000065,17
12086000402,18
12113000023,19
12085000026,20
12086000376,21
12019021800,22
12119000104,23
12105000109,24
12007000001,25
12005000018,26
12009000404,16
12083000057,25
12119000106,26
12086000385,10
12105000537,12
12023000004,7
12113000016,23
12113000028,17
120170108.1,6
12091000025,4
12075000009,15
12009000105,22
12081000165,11
12113000019,18
12071000028,5
12086000331,14
12019030200,13
12121000012,19
12127000072,21
12021000116,8
12105000245,3
12057000154,9
120170109.1,2
12117000007,7
12079000003,26
120170404.1,18
12015000045,25
12081000136,24
12115000033,15
12109000003,6
12005000001,20
12101000023,11
12073002365,17
12071000116,19
12019040000,4
12113000035,10
12085000040,16
12071000301,23
12019030400,12
12021000115,2
12021000136,26
12009000216,24
12109000012,18
