PCT_STD,POPULATION
ALA0001,764
ALA0002,856
ALA0003,1756
ALA0004,1466
ALA0005,2245
ALA0006,1483
ALA0007,1667
ALA0008,1143
ALA0009,392
ALA0010,651
ALA0011,1262
ALA0012,1030
ALA0013,1553
ALA0014,629
ALA0015,306
ALA0016,683
ALA0017,753
ALA0018,974
ALA0019,1032
ALA0020,1332
ALA0021,743
ALA0022,753
ALA0023,2201
ALA0024,403
ALA0025,1677
ALA0026,297
ALA0027,1442
ALA0028,1436
ALA0029,695
ALA0030,1190
ALA0031,802
ALA0032,1806
ALA0033,1065
ALA0034,574
ALA0035,422
ALA0036,1515
ALA0037,459
ALA0038,2000
ALA0039,2082
ALA0040,594
ALA0041,594
ALA0042,453
ALA0043,1637
ALA0044,713
ALA0045,1185
ALA0046,801
ALA0047,834
ALA0048,1256
ALA0049,398
ALA0050,238
ALA0051,981
ALA0052,1299
ALA0053,1428
ALA0054,1174
ALA0055,692
ALA0056,1146
ALA0057,815
ALA0058,1744
ALA0059,5122
ALA0060,783
ALA0061,825
ALA0062,1420
ALA0063,1374
BAK001A,912
BAK002A,1499
BAK003A,1305
BAK004A,22
BAK004B,303
BAK004C,177
BAK004D,330
BAK005A,1089
BAK006A,98
BAY0001,1358
BAY0002,546
BAY0003,245
BAY0004,1409
BAY0005,1233
BAY0006,1394
BAY0007,347
BAY0008,3269
BAY0009,4666
BAY0010,2950
BAY0011,5930
BAY0012,2801
BAY0013,1059
BAY0014,730
BAY0015,1123
BAY0016,716
BAY0017,2153
BAY0018,934
BAY0019,643
BAY0020,644
BAY0021,1264
BAY0022,806
BAY0023,1681
BAY0024,331
BAY0025,706
BAY0026,819
BAY0027,1620
BAY0028,1261
BAY0029,1481
BAY0030,283
BAY0031,2521
BAY0032,859
BAY0033,1309
BAY0034,526
BAY0035,939
BAY0036,707
BAY0037,2254
BAY0038,930
BAY0039,1735
BAY0040,787
BAY0041,1002
BAY0042,941
BAY0043,361
BAY0044,965
BRA0001,499
BRA0002,219
BRA0003,135
BRA0004,211
BRA0005,558
BRA0006,62
BRA0007,371
BRA0008,725
BRA0009,220
BRA0010,185
BRA0011,352
BRA0012,426
BRA0013,13
BRA0014,283
BRE0000,0
BRE0100,706
BRE0102,501
BRE0103,1286
BRE0104,1942
BRE0105,1789
BRE0106,1203
BRE0107,103
BRE0108,2565
BRE0109,1657
BRE0111,2151
BRE0112,741
BRE0113,1257
BRE0114,1480
BRE0115,1661
BRE0116,1385
BRE0118,2629
BRE0120,322
BRE0121,207
BRE0122,1050
BRE0123,1313
BRE0124,1434
BRE0125,1470
BRE0126,0
BRE0127,273
BRE0128,2
BRE0129,0
BRE0131,423
BRE0135,638
BRE0200,1163
BRE0201,979
BRE0202,1287
BRE0203,1280
BRE0204,2541
BRE0205,3812
BRE0206,1411
BRE0207,633
BRE0208,691
BRE0209,967
BRE0211,1446
BRE0212,908
BRE0213,343
BRE0214,648
BRE0215,412
BRE0216,3135
BRE0217,1476
BRE0218,387
BRE0219,1020
BRE0220,162
BRE0221,1461
BRE0222,1292
BRE0223,328
BRE0224,2376
BRE0225,1
BRE0226,2512
BRE0227,51
BRE0228,377
BRE0229,20
BRE0231,511
BRE0233,318
BRE0234,84
BRE0235,1515
BRE0236,29
BRE0240,195
BRE0300,1944
BRE0302,872
BRE0303,4729
BRE0304,3961
BRE0305,1152
BRE0306,938
BRE0307,569
BRE0308,2129
BRE0309,4467
BRE0310,1266
BRE0311,1799
BRE0312,1596
BRE0313,3185
BRE0314,1874
BRE0315,2571
BRE0316,1597
BRE0317,3701
BRE0318,2018
BRE0320,34
BRE0322,1996
BRE0323,137
BRE0324,389
BRE0325,29
BRE0326,26
BRE0327,33
BRE0400,1263
BRE0402,1272
BRE0403,615
BRE0404,1798
BRE0405,1874
BRE0406,1210
BRE0407,48
BRE0408,833
BRE0409,3286
BRE0410,176
BRE0411,150
BRE0412,416
BRE0414,2090
BRE0415,1309
BRE0416,874
BRE0417,1401
BRE0418,1080
BRE0419,772
BRE0420,495
BRE0421,552
BRE0422,1000
BRE0424,1042
BRE0425,92
BRE0426,273
BRE0427,811
BRE0428,1481
BRE0429,1058
BRE0430,31
BRE0431,126
BRE0432,10
BRE0435,22
BRE0437,187
BRE0441,1123
BRE0500,1728
BRE0501,124
BRE0502,1364
BRE0503,1163
BRE0504,343
BRE0505,1301
BRE0506,1403
BRE0507,2566
BRE0508,335
BRE0509,611
BRE0510,4284
BRE0511,398
BRE0512,760
BRE0513,375
BRE0515,917
BRE0516,3833
BRE0517,2515
BRE0518,1219
BRE0519,3197
BRE0520,2503
BRE0521,2383
BRE0522,76
BRE0523,281
BRE0525,409
BRE0527,1129
BRE0528,828
BRE0529,889
BRE0530,158
BRE0531,0
BRO0000,0
BRO0998,1
BROA001,3026
BROA002,572
BROA003,1280
BROA004,1044
BROA005,1972
BROA006,2733
BROA007,1068
BROA008,171
BROA009,2175
BROA010,577
BROA011,807
BROA012,593
BROA013,1980
BROA014,2571
BROA015,815
BROA016,1390
BROA017,545
BROA018,1065
BROA019,869
BROA020,1702
BROA021,923
BROA022,1115
BROA023,148
BROA024,39
BROB001,152
BROB002,869
BROB003,283
BROB004,902
BROB005,38
BROB006,29
BROC001,2171
BROC002,416
BROC003,822
BROC004,895
BROC005,617
BROC006,1447
BROC007,170
BROC008,226
BROC009,1181
BROC010,1082
BROC011,812
BROC013,817
BROC014,953
BROC015,1495
BROC016,1937
BROC017,348
BROC018,503
BROC019,72
BROC020,824
BROC021,1393
BROC022,433
BROC023,421
BROC024,353
BROC025,1094
BROC026,727
BROC027,364
BROC028,1210
BROC030,1591
BROC031,1268
BROC032,0
BROC033,457
BROC034,1265
BROC035,659
BROC036,89
BROC037,602
BROD001,828
BROD002,1393
BROD003,728
BROD004,62
BROD005,1667
BROD006,733
BROD007,507
BROD008,384
BROD009,1452
BROD010,169
BROD011,86
BROD012,18
BROD013,419
BROD014,233
BROD015,1096
BROD016,1842
BROE001,132
BROE002,1339
BROE003,1252
BROE004,1128
BROE005,665
BROE006,1730
BROE007,2207
BROE008,1713
BROE009,580
BROE010,1360
BROE011,1997
BROE012,470
BROE013,1084
BROE014,1022
BROE015,550
BROE016,859
BROE017,1090
BROE018,101
BROE019,434
BROE020,1974
BROE021,611
BROE022,898
BROE023,595
BROE024,1123
BROE025,587
BROE026,365
BROE027,1758
BROE028,165
BROE029,523
BROE030,107
BROE031,894
BROE032,614
BROE033,656
BROE034,125
BROF001,804
BROF002,114
BROF003,571
BROF004,2970
BROF005,1804
BROF006,1296
BROF007,971
BROF008,601
BROF009,1861
BROF010,1809
BROF011,938
BROF012,1907
BROF013,309
BROF014,860
BROG001,581
BROG002,1031
BROG003,782
BROG004,1487
BROG005,280
BROG006,2123
BROG007,169
BROG008,1491
BROG009,28
BROG010,746
BROG011,1867
BROG012,940
BROG013,303
BROG014,860
BROG015,246
BROG016,947
BROH001,633
BROH002,359
BROH003,1760
BROH004,358
BROH005,781
BROH006,429
BROH007,610
BROH008,768
BROH009,377
BROH010,192
BROH011,1683
BROJ001,422
BROJ002,867
BROJ003,528
BROJ004,1021
BROJ005,872
BROJ006,84
BROJ007,151
BROJ008,194
BROJ009,542
BROJ010,572
BROJ011,1187
BROJ012,1487
BROJ013,181
BROJ014,1127
BROJ015,587
BROJ017,250
